photo1,ci1,tleaf1,vpd1,cond1,CO2,photo2,ci2,tleaf2,vpd2,cond2,both,photo3,ci3,tleaf3,vpd3,cond3,control,photo4,ci4,tleaf4,vpd4,cond4,temp
2.136824779,642.6809317,20.24787316,1.127355243,0.059666204,,2.294317124,643.3089227,20.04626501,1.129318009,0.066190105,,2.733030608,679.557291,20.55932128,1.147851057,0.168380532,,2.698409941,655.9244859,21.22516255,1.212269148,0.090327804,
2.806206066,589.7252948,30.19945046,2.059187325,0.051733646,,3.168838792,641.5484605,30.14273806,2.037854022,0.091062175,,2.937824457,590.4779474,30.26533866,2.05550068,0.047568135,,3.229008855,631.1828178,30.35100746,2.094057235,0.081769551,
3.200086712,558.712417,35.27102022,2.759924978,0.050126158,,3.299793184,589.519816,35.17793279,2.826343993,0.067540226,,3.612480395,489.6599124,35.2571414,2.802071323,0.041037991,,3.551564644,485.8909047,35.70633068,2.868701047,0.038829799,
3.63558193,629.3674883,20.58537304,1.174073387,0.084479608,,2.314292484,652.6171327,20.21315703,1.116149968,0.073115865,,2.869071314,680.1655648,20.52390392,1.12546936,0.16604516,,2.053781957,563.9657217,20.91819234,1.179742853,0.025530545,
3.888095475,567.9998315,30.32697106,2.123818338,0.051046235,,2.167519451,614.1521136,30.42216029,2.09419497,0.045188151,,3.198780792,614.9125745,30.24724031,2.017213846,0.056273539,,3.608321505,559.3083609,30.50402281,2.035952659,0.040729433,
3.894975373,493.002415,35.33540387,2.774542929,0.037763263,,2.606101863,626.5325233,35.34529715,2.843036056,0.07717406,,3.92332389,490.9785334,35.37390909,2.805947322,0.040970353,,3.479353034,486.7434278,34.99480972,2.855955261,0.045647956,
1.985756655,646.1557139,20.15421111,1.157513942,0.075273282,,2.367006079,598.6370353,20.56103389,1.137620476,0.044870886,,1.59447649,588.8823108,20.18441773,1.104684354,0.017975004,,1.966264366,676.0148567,19.97592337,1.162682429,0.096917199,
2.8940286,641.25566,30.17815514,2.08392429,0.090858486,,2.671627852,511.7758754,30.18403177,2.050000025,0.044990051,,3.764408701,615.9260285,30.15975952,2.054524188,0.093317412,,3.439094902,606.9275824,30.7447413,2.1505501,0.067859373,
3.224906522,690.6763874,35.35287733,2.757512932,0.096597083,,3.332088478,576.4256422,35.24960041,2.775660108,0.065701133,,3.285410932,454.0409083,35.24181824,2.902840538,0.042022438,,3.455002846,575.2561922,35.05576077,2.903596423,0.059412055,
